     stock       age all_areas    area_1    area_2    area_3    area_4
         1         0  504.6364  378.4773  126.1591    0.0000    0.0000
         1         1  296.2216  222.1662   74.0554    0.0000    0.0000
         1         2  173.8821  130.4115   43.4705    0.0000    0.0000
         1         3  102.0399   76.5299   25.5100    0.0000    0.0000
         1         4 1927.8564 1445.8923  481.9641    0.0000    0.0000
         2         0    0.0101    0.0000    0.0061    0.0020    0.0020
         2         1    0.0060    0.0000    0.0036    0.0012    0.0012
         2         2    0.0035    0.0000    0.0021    0.0007    0.0007
         2         3    0.0020    0.0000    0.0012    0.0004    0.0004
         2         4    0.0385    0.0000    0.0231    0.0077    0.0077
  hello 10
