CV,Nmin,Tier,Notes
0.1,0.15,Tier 1,1. Standard
0.2,0.2,Tier 1,1. Standard
0.3,0.3,Tier 1,1. Standard
0.4,0.3,Tier 1,1. Standard
0.5,0.3,Tier 1,1. Standard
0.6,0.275,Tier 1,1. Standard
0.7,0.275,Tier 1,1. Standard
0.8,0.275,Tier 1,1. Standard
0.9,0.25,Tier 1,1. Standard
1,0.25,Tier 1,1. Standard
0.1,0.1,Tier 2,2. GAMMS Avg.
0.2,0.25,Tier 2,2. GAMMS Avg.
0.3,0.35,Tier 2,2. GAMMS Avg.
0.4,0.4,Tier 2,2. GAMMS Avg.
0.5,0.45,Tier 2,2. GAMMS Avg.
0.6,0.45,Tier 2,2. GAMMS Avg.
0.7,0.475,Tier 2,2. GAMMS Avg.
0.8,0.5,Tier 2,2. GAMMS Avg.
0.9,0.5,Tier 2,2. GAMMS Avg.
1,0.5,Tier 2,2. GAMMS Avg.
0.1,0.1,Tier 3,3. Moving Avg.
0.2,0.2,Tier 3,3. Moving Avg.
0.3,0.25,Tier 3,3. Moving Avg.
0.4,0.3,Tier 3,3. Moving Avg.
0.5,0.35,Tier 3,3. Moving Avg.
0.6,0.4,Tier 3,3. Moving Avg.
0.7,0.4,Tier 3,3. Moving Avg.
0.8,0.45,Tier 3,3. Moving Avg.
0.9,0.45,Tier 3,3. Moving Avg.
1,0.5,Tier 3,3. Moving Avg.
